,No.,Title,Author,Size,Year,Category,Description
661,339,"Map of the City of Chicago Showing its Extent
  and Boundaries as Described in the Standard Guide to Chicago",The Standard Guide Co.,"17.25""x23""",1893,Worlds Columbian Exposition," Map of
  Chicago and surrounding suburbs showing streets, railway lines. Rivers and
  canals in blue. Parks and boulevards in green. City and suburban borders in
  red. World's Columbian Exhibition site shaded red. S to 138th, W to
  Leyden/Proviso, N to Peterson. Upper
  right: Advertisement for Eggleston, Mallette & Bronwell Real Estate &
  Loans, with photo of headquarters. Lower
  left: Insert map of central Chicago, including railway lines and stations,
  streets, and important buildings in Loop. 
  S to 12th, W to Canal, N to Kinzie, E to Michigan."
662,585,Buckeye Map of the World's Columbian Exhibition,Rand McNally & Co.,"In plastic sleeve.
  7.25""x9.75""",1893,Worlds Columbian Exposition," Map of
  southern Hyde Park with Jackson Park and Midway shaded orange. Labels
  adjacent streets, rail lines, all Exposition buildings, booths, monuments,
  etc., with measurements. Reverse:
  Advertisement for buckeye harvesting machines by Aulthman, Miller & Co,
  Akron OH"
663,587,"Map of Jackson Park -- World's Columbian
  Exposition","Kraus, Joseph","10""x14.25""",1893,Worlds Columbian Exposition," Map of
  Jackson Park showing Exposition buildings with dimensions. Also marks lagoon,
  parks, garden, and nearby streets. Drawings of boats in Lake Michigan."
664,686,"Map of the Buildings and Grounds of the World's
  Columbian Exposition at Jackson Park and the Midway Plaisance",H. Heinze,"In 8 pieces. 64""x93""
  total.",1893,Worlds Columbian Exposition," Map
  showing Jackson Park. Includes railroad lines and stations, adjacent streets
  N to 56th, S to 69th, parks, canals and lagoon, sites and structures with
  labels and dimensions. ICHi-31124"
665,687,"Map of the Buildings and Grounds of the World's
  Columbian Exposition at Jackson Park and Midway Plaisance",Department of Surveys and Grades,"12.27""x13.25""",1893,Worlds Columbian Exposition," Map
  showing Midway Plaisance and Jackson Park fairgrounds. Shows buildings with
  dimensions and floor plans, parks, lagoons, and other monuments.  Contains numbered and lettered keys to
  Midway Plaisance, state sites and buildings, foreign sites and buildings, and
  other buildings and arrangements. Libbey Glass Co. building in red.
  Advertisement for Libbey Glass Co. with drawing of building at upper right."
666,1041,New map of a portion Chicago.,"Shepard, W.H. & Co.","23.75""x31.75""",1891,Worlds Columbian Exposition," Map
  showing south side of Chicago, including streets, railway lines and stations.
  Labels neighborhoods, parks, additions and subdivisions. Washington Park,
  Midway, and Jackson Park shaded purple and labelled as site of Exposition.
  W.H. Shepard & Co.'s office also marked purple and labelled. S to 95th, E
  to Superior Ave, N to 39th, W to Western. Gift:
  Dr. Grace Line Homman, 1/1957"
667,1042,"Standard Guide Map of the Worlds Columbian
  Exposition at Chicago, 1893.",Rand McNally and Co.,"Folded in leather container
  labelled ""The Drovers National Bank"", 3""x5.5""",1893,Worlds Columbian Exposition," Map
  folded, torn at seams. Poor condition. Map of
  Exposition grounds showing all structures with basic floor plans, dimensions.
  Contains numbered and lettered General Index, index to Midway Plaisance,
  index to state sites and buildings, index to foreign sites and buildings, and
  index for buildings and arrangements."
668,1043,"Map of the buildings & grounds of the
  Worlds Columbian Exposition at Jackson Park and Midway Plaisance. (2 copies)","Heinze, H. and J.W. Alvord.","In plastic sleeve.
  14""x15""",1893,Worlds Columbian Exposition," Map of
  Exposition grounds showing all structures with basic floor plans, dimensions.
  Contains numbered and lettered legends to buildings on Midway Plaisance,
  State sites and buildings, foreign sites and buildings, and other buildings
  and arrangements."
669,1044,"Worlds Fair Map of Chicago and Suburbs. (inset
  maps shows grounds of Worlds Columbian Exposition)","Gross, S.E.","Fragile. Torn at creases.
  23.75""x35.75""",1893,Worlds Columbian Exposition," Map of
  streets, railroads, neighborhoods, and land plots in Chicago area, including
  Thornton, Calumet, Worth, Palos, Lyons, Cicero, Proviso, Leyden, and Norwood
  Park.  Notes site of Columbian
  Exposition, major subdivisions. Properties for sale by S.E. Gross shaded
  pink. Upper
  right: Insert map of Jackson Park and Midway, labelling major fair buildings
  with measurements. Lower
  left: Drawings of houses and cottages for sale by S.E. Gross"
670,no number,"Loop, Shopping District, and World's Fair Routes
  / Chicago -- The Most Beautiful City in the World",Chicago Motor Coach Co.,"Double-sided. One side:
  16.75""x22.75""",1933,Century of Progress," Fragile.
  Newsprint, torn at creases. Map
  showing Fairgrounds and downtown Chicago. Labels streets, rail lines and
  stations. Motor Coach Co. lines in red. Contains information on routes to
  Fair, Loop hotels, and railroad depots. Also contains advertisement to
  ""Go the Motor Coach Way."" On
  reverse: Map
  of Chicago showing major streets, with parks in green and Motor Coach Co.
  routes labelled and in red. Also marks World's Fair grounds. Guide to
  attractions in right margin. Guide to hotels and points of interest with
  relevant bus route numbers in left margin. List of main routes and points of
  interest on South and West sides in bottom margin.  "
671,2167,A Century of Progress 1833-1933.,"Sarg, Tony.","9""x27.75""",1933,Century of Progress," Pictoral
  map showing Exposition grounds with drawings of major buildings. Fairgrounds
  in green, Lake in blue, major rivers labelled and in red. Also labels
  entrances to Fairgrounds. On
  reverse: ""Know
  the Fair: A decorated Guide Map."" Lists entrances to fairgrounds. Notes
  major attractions and events."
672,2168,Hales Souvenir Map of A Century of Progress,"Hale, Clarence G.","9.5""x26.25""",1934,Century of Progress," Map
  showing Exposition grounds marking all sites and structures. Also marks
  entrances and adjacent railway depots. Map on alphanumeric grid with index to
  attractions at lower right. Gift:
  J.S. Murphy, Sept. 1952"
673,2168a,"Hales Souvenir Pocket Map of A Century of
  Progress","Hale, Clarence G.","Folding map inside yellow cover.
  Customer's receipt for World's Fair Greyhound Lines attached to inside cover.",1934,Century of Progress," Folded:
  9.5""x3.75"" Unfolded:
  9.5""x26.25"" Map
  showing Exposition grounds marking all sites and structures. Also marks
  entrances and adjacent railway depots. Map on alphanumeric grid with index to
  attractions at lower right. Gift:
  J.S. Murphy, Sept. 1952"
674,2169,"Illinois Central Direct to All Gates/Chicagos
  Worlds Fair.",Illinois Central System,"19.5""x30""",1933,Century of Progress," Fragile.
  Torn at creases. Map
  showing fairgrounds and adjacent streets and railways. Fair sites in red and
  labelled. Also marks Illinois Central Railroad stations and parking spaces.
  Map on alphanumeric grid, with alphabetical legend to fair sites in bottom
  right. Information on Illinois Central Electric at bottom. Timetable/fare
  chart at bottom left. Insert map at bottom right of south side of Chicago,
  showing streets, parks, Illinois Central railroad line and stations, and
  points of interest near line."
675,2170,"Chicagos Worlds Fair/Bigger, Better, Newer in
  1934.",Illinois Central System,"11""x32""",1934,Century of Progress," Map of
  Exposition grounds, Grant Park, and nearby streets and rail lines. Fair
  buildings in red. Also marks Illinois Central Railroad stations and parking
  spaces. Map on alphanumeric grid, with alphabetical legend to fair sites in
  bottom right. On
  reverse: Map at
  right of southern U.S. and Central America, showing Illinois Central rail
  lines and important cities. Map at left of south side of Chicago, showing
  streets, parks, Illinois Central railroad line and stations, and points of
  interest near line. Timetable/fare chart at center."
676,2171,"Map of A Century of Progress Exposition &
  Downtown Chicago.",Conoco Travel Bureau,"Double-sided. One side:
  20""x26.5""",1934,Century of Progress," Map of
  Exposition grounds and nearby streets and rail lines. Park space in green,
  Fair buildings in red. Also marks important buildings in Loop and adjacent
  area. N to Kinzie, W to Morgan, S to 33rd. Insert map in upper right shows
  south section of exposition grounds. Map on alphanumeric grid. Bottom
  right lists prices to exhibits and concessions and index to clubs, hospitals,
  hotels, important buildings, parks, points of interest, railroad stations,
  stores, theaters, and world's fair sites. Scale:
  1""=800 ft On
  reverse: Map of
  Chicago and adjacent suburbs. Main roads in red, other roads in blue. Parks
  and forest preserves in green. NW to Wauconda, SW to Joliet, NE to
  Schererville. Map on alphanumeric grid. Contains indexes to points of
  interest, cities and towns, golf and country clubs, airports, parks, lakes,
  and forest preserves."
677,2172,"Map of A Century of Progress Exposition &
  Downtown Chicago.",Conoco Travel Bureau,"Double-sided. One side:
  20""x26.5""",1933,Century of Progress," Map of
  Exposition grounds and nearby streets and rail lines. Park space in green,
  Fair buildings in red. Also marks important buildings in Loop and adjacent
  area. N to Kinzie, W to Morgan, S to 33rd. Insert map in upper right shows
  south section of exposition grounds. Map on alphanumeric grid. Bottom
  right lists prices to exhibits and concessions and index to clubs, hospitals,
  hotels, important buildings, parks, points of interest, railroad stations,
  stores, theaters, and world's fair sites. Scale:
  1""=800 ft On
  reverse: Map of
  Chicago and adjacent suburbs. Main roads in red, other roads in blue. Parks
  and forest preserves in green. NW to Wauconda, SW to Joliet, NE to
  Schererville. Map on alphanumeric grid. Contains indexes to points of
  interest, cities and towns, golf and country clubs, airports, parks, lakes,
  and forest preserves."
678,2173,Pure Oil Pathfinder. (3 copies),Rand McNally,"9""x32""",1934,Century of Progress," Bird's-eye-view
  map of fairgrounds looking west from Lake. Labels all sites and structures.
  Also marks major nearby streets and parks. 
  Points out location of Pure Oil exhibition. Map on alphanumeric grid,
  with legend in upper left. On
  reverse: Information
  on Pure Oil at the fair."
679,2174,A Century of Progress International Exposition.,"Schuessler, W.F.","14""x24.5""",1933,Century of Progress," Bird's-eye-view
  of fairgrounds looking west from Lake. Also includes Grant Park and southeast
  side. ""Approved
  as of April 1, 1933. A Century of Progress by Rufus C. Dawes, President"""
680,2175,A Century of Progress, ,"8.5""x14.75""",1934,Century of Progress," Map
  showing fair grounds along Lake Michigan and adjacent streets and rail lines.
  N to 12th, S to 39th. Free attractions in red. Items numbered. Numerical and
  alphabetical legends in lower section of map."
681,2176,"A Century of Progress 1933 International
  Exposition.","McDowell, H.L.","9.25""x11""",1933,Century of Progress," Not-to-scale
  drawing of World's Fair Grounds. Exposition sites and structures marked by
  number, with legend in lower right."
682,2177,Where Will You Live When You Go To Chicago?, ,"8.5""x10.75""",1933,Century of Progress," Map of
  Chicago showing major streets and rail lines, World's Fair grounds, and
  numbered locations of apartment hotels on north, south, and west sides On
  reverse: Information
  on hotels and apartments, transportation."
683,2178,"Map Showing Vehicular Route to be Followed After
  12.30 PM to a Century of Progress Opening Day Ceremonies", ,"8.5""x11""",1933 & 1934,Century of Progress," Hand-drawn
  map of Exposition grounds, labelling major streets and entrances, with
  driving instructions."
684,2179,A Century of Progress, ,"8.5""x14.75""",1934,Century of Progress," Map
  showing fair grounds along Lake Michigan and adjacent streets and rail lines.
  N to 12th, S to 39th. Free attractions in red. Items numbered. Numerical and
  alphabetical legends in lower section of map. From:
  Official Guide Book, 1934, Chicago."
685,2180,"The Bigger & Better 1934 Chicago Worlds
  Fair.",Illinois Central System,"18""x17""",1934,Century of Progress," Map
  showing fairgrounds and adjacent streets and railways. Fair sites in red and
  labelled. Also marks Illinois Central Railroad stations and parking spaces.
  Map on alphanumeric grid, with alphabetical legend to fair sites in bottom
  right. Information on Illinois Central Electric at bottom. Insert map at
  bottom right of south side of Chicago, showing streets, parks, Illinois
  Central railroad line and stations, and points of interest near line. On
  reverse: Images
  of ""A Myriad of New Attractions at Chicago 1934 World's Fair-- Bigger
  and Better"""
686,2181,"Visitors Map of the 1934 Worlds Fair. (2
  copies)", ,"9""x15.75""",1934,Century of Progress," Map
  showing fair grounds along Lake Michigan and adjacent streets and rail lines.
  N to Grant Park, S to 39th. Numbered legend to sites and structures at right.
  Also points out location of Uhlemann Optical Co. pavilion. On
  reverse: Illustration
  of fairgrounds. Place to record ""My memories of the Fair."""
687,2182,"A Century of Progress -- International
  Exposition",National Blue Print Co.,"10""x24""",1933,Century of Progress," Map
  showing fair grounds along Lake Michigan and adjacent streets and rail lines.
  N to 12th, S to 39th. Fair sites and structures labelled. Midway features and
  transportation options listed at center. Map on alphanumeric grid, with index
  of sites and structures."
688,2183,"Chicago 1934 Worlds Fair  Bigger, Brighter,
  Better.",Illinois Central System,"11""x31""",1934,Century of Progress," Map
  showing fair grounds and Grant Park and adjacent streets and rail lines. Fair
  buildings labelled and in red. Also marks entrances, parking, and train
  stations. Map on
  alphanumeric grid.  Key to location of
  buildings and exhibits in lower right. On
  reverse: Map at
  right of southern U.S. and Central America, showing Illinois Central rail
  lines and important cities. Map at left of south side of Chicago, showing
  streets, parks, Illinois Central railroad line and stations, and points of
  interest near line. Information on Illinois Central exhibits at Fair."
689,2184,"Official Road Map for a Century of Progress. (2
  sections)",Goes Lithographing Co.,"11.5""x17""",1933,Century of Progress," Black-and-white
  Pictoral Map of fairgrounds from two-page magazine spread. Labels important
  buildings. Contains various cartoon characters in fairgrounds and around
  border. Information on map in right margin. On
  reverse: Fragment of magazine articles about Standard Oil of Indiana and John
  Richard Brinkley."
690,2186,"Cozzens Guide & Maps of the Century of
  Progress Exposition.","Cozzens, C.W.","6.5""x4"" Booklet with
  24 pgs.",1933,Century of Progress," Guide
  booklet for Map #2187. Contains guides to streets, points of interest,
  transportations."
691,2187,"Map of Chicagos Downtown Business District,
  Grant Park and Yacht Harbor on Lake Michigan. (2 copies)","Cozzens, C.W.","13""x15""",1933,Century of Progress," Front:
  Map of central Chicago showing streets with numbered blocks. Rail lines in
  blue, bus lines in red.  Image of
  Chicago skyline in top margin. Route Map to Century of Progress showing major
  streets and highways, marking best routes into city. Reverse:
  Map of Century of Progress fairgrounds in blue, plus adjacent streets N to
  Jackson, S to Oakwood, W to State. Blocks numbered. Bus routes in red.
  Fairground sites marked by number and letter. For guide booklet, see #2186. From:
  Cozen's Guide... Century of Progress.. Chicago. City Guide Co., 1933."
692,2188,"Chicago & Environs/Chicago & the Century
  of Progress. (2 copies)","Gousha, H.M.","Double-sided. Each side
  18""x24""",1933,Century of Progress," Front: Map
  of Chicago and suburbs. Streets, parks and boulevards, rivers and canals,
  municipal borders in blue.  Highways
  and railway lines in red.  Points out
  World's Fair grounds and other landmarks. SE to Schererville, SW to Joliet,
  NW to Wauconda. Upper right: Legend to World's Fair Route markers. Right:
  Information on plan of street numbering system. List of complete greasing
  stations in Chicago and Vicinity. Map on alphanumeric grid. Indexes to golf
  and country clubs, forest preserves, and cities and town in left margin. On
  reverse: Information
  on Century of Progress from Standard Oil Company (Indiana). Map of Downtown
  Chicago featuring points of interests and all stores, depots and principal
  banks and buildings. S to 18th, W to Canal, N to Cedar. Map on alphanumeric
  grid with numbered indexes to hotels, clubs, railroad stations, stores,
  important buildings and points of interest. Map of
  A Century of Progress Exposition and Downtown Chicago. Map showing downtown
  and near South Side with Standard Oil Building and World's Fair grounds
  highlighted red. Fair sites and structures numbered. Map on alphanumeric
  grid, with numbered legends to points of interest at bottom right. Scale:
  1"" = 1600 ft."
693,2189,"A Century of Progress International Exposition 
  Burnham Park (2 copies)",Sanborn Map Co.,"25.5""x106""",1933,Century of Progress," Insurance
  plat map showing structures on World's Fair grounds, N to Roosevelt, S to
  39th. Building construction types marked by color. Also notes construction
  materials and composition, provides dimensions and notes for each building,
  and marks fire and water-related structures including hydrants, sprinklers,
  fire alarms and fire stations, stand pipes, and gasoline tanks. Legend, notes
  on water facilities and fire department at top."
694,2190,"A Geographical Map of the Century of Progress
  Exhibition (2 copies)","Sarg, Tony","Framed original in 2 pieces, in
  separate folder.",1933,Century of Progress," Reproduction:
  21""x56"" Colorful
  pictoral map showing Bird's Eye view of Fairgrounds, looking west from the
  Lake. Sites numbered with legend at bottom. Includes insert illustrations of
  various fair events, including the Streets of Paris, Wings of a Century, and
  Ripley's 'Believe it or Not.'"
695,3310,Pure Oil Pathfinder for A Century of Progress,The Pure Oil Co.,"9""x24""",1933,Century of Progress," Map of
  fairgrounds labelling sites and structures. 
  Free attractions dark, paid attractions shaded. Map on alphanumeric
  grid, with index to buildings and concessions in lower right. Points out Pure
  Oil Company exhibit. On
  reverse: Information
  on Pure Oil at the Fair."
696,3311,A Century of Progress Exposition Grounds,Chicago and Northwestern Line,"9""x24""",1933,Century of Progress," Map of
  fairgrounds labelling sites and structures. 
  Free attractions dark, paid attractions shaded. Map on alphanumeric
  grid, with index to buildings and concessions in lower right. Points out
  Chicago and Northwestern Railway exhibits. On
  reverse: Information
  on locomotive displays."
697,3312,A Century of Progress -- Exposition Grounds, ,"13.5""x18.5""",1933,Century of Progress," Map of
  fairgrounds labelling sites and structures. Map on alphanumeric grid, with
  legend to locations. Points out American Express Co Hall of Science. Connects
  to map of central Chicago showing streets, rail lines and depot. Labels
  buildings. N to Grand, W to Canal, S to Roosevelt. On
  reverse: Guide to
  points of interest in Chicago. Suggested trips in and out of Chicago.
  American Express travel offerings for Fall and Winter season, 1934-1935."
698,4017,"Souvenir Ground Map and Complete Index of
  Chicago World's Fair, 1933",Curt Teich & Co.,"8""x27""",1933,Century of Progress," Map
  showing Exposition grounds and Grant Park and adjacent streets, rail and bus
  lines. N to Monroe, W to Michigan, S to 38th. Also marks entrances to
  fairgrounds. Sites and structures marked by number with topical index in
  upper left, numerical index in left margin. Gift:
  Herman F. Johnson, 1982"
699,4044a,Study for General Plan -- A Century of Progress,Department of Works,"11""x17""",1933,Century of Progress," Map
  showing Exposition grounds, Grant Park, and adjacent streets and rail lines.
  Fair sites and structures numbered, with legend of 117 items at bottom."
700,4044b,Study for General Plan -- A Century of Progress,Department of Works,"In plastic sleeve.
  11""x17""",1933,Century of Progress," Map
  showing Exposition grounds, Grant Park, and adjacent streets and rail lines.
  Fair sites and structures numbered, with legend of 72 items at bottom."
701,4060,"Map of the Century of Progress Exposition and
  Downtown Chicago / Metropolitan Map of Chicago and Vicinity",H.M. Gousha Co.,"Double-sided. One side:
  20""x27""",1933,Century of Progress," Map of
  Exposition grounds and nearby streets and rail lines. Park space in green,
  Fair buildings in red. Also marks important buildings in Loop and adjacent
  area. N to Kinzie, W to Morgan, S to 33rd. Insert map in upper right shows
  south section of exposition grounds. Map on alphanumeric grid. Bottom
  right contains information on A Century of Progress, and index to clubs,
  hospitals, hotels, important buildings, parks, points of interest, railroad
  stations, stores, theaters, and world's fair sites. Scale:
  1""=800ft On
  reverse: Map of
  Chicago and adjacent suburbs. Main roads in red, other roads in blue. Parks
  and forest preserves in green. NW to Wauconda, SW to Joliet, NE to
  Schererville. Map on alphanumeric grid. Contains indexes to points of
  interest, cities and towns, golf and country clubs, airports, parks, lakes,
  and forest preserves."
702,278,"Map of Chicago Showing the Extensions of City
  Limits (2 copies)",Blomgren Bros.,Copy #2 in color,1885,Annexations & Accretions," Copy #2
  in black-and-white In
  plastic sleeve. 7""x10.5"" Map
  showing extensions of city limits over time. Additions marked by color and
  labelled.  Marks major streets and
  streets on dividing lines. Legend in upper left details additions. From:
  Andres. History of Chicago v. 2, 1885 p. 49."
703,327,"Map Showing Territorial Growth of the City of
  Chicago, to accompany the annual report of the Map Department (2 copies)","Manstein, R.A.",Copy #1 in Chicago 1889,1889,Annexations & Accretions," Copy #2
  in Chicago- Annexations Laminated.
  15""x9"" Map
  showing extension of Chicago city limits. 
  Ranges marked by color.  Gives
  names of former towns and dates of annexation."
704,318,[Map of Chicago Extensions], ,"10.5""x15""",1890,Annexations & Accretions," Map
  showing extension of Chicago city limits. Shows rail lines, major street,
  parks, rivers and canals. Numbers extensions and notes date and method of
  annexations From:
  Kirkland, J. ""The Story of Chicago,"" p. 16."
705,326,"Map Showing Territorial Growth of the City of
  Chicago, to accompany the annual report of the Map Department ( 2 copies)","Manstein, R.A.","15""x21"" Copy #2
  laminated",1891,Annexations & Accretions," Map
  showing extension of Chicago city limits. 
  Ranges marked by color.  Gives
  names of former towns and dates of annexation."
706,285,Map of Chicago City Extensions (3 copies), ,"11.75""x8.75""",1891,Annexations & Accretions," Map
  showing extension of Chicago city limits.  
  Labels major streets, former towns and villages. Numbers extensions
  and notes date and method of annexations."
707,283,"Map Showing Territorial Growth of the City of
  Chicago, to accompany the annual report of the Map Department","Manstein, R.A.","17""x21""",1892,Annexations & Accretions," Map
  showing extension of Chicago city limits. 
  Ranges marked by color.  Gives
  names of former towns and dates of annexation. Also shows railroad lines and
  radius from city center in miles."
708,0763a,"Map Showing Territorial Growth of the City of
  Chicago, to accompany the annual report of the Map Department","Burnham, Chas. J.","17""x24.5""",1899,Annexations & Accretions," Map
  showing extension of Chicago city limits. 
  Ranges marked by color and number. 
  Labels major streets on grid. Also shows rivers and canals. List of
  extensions with dates in bottom left. City limits in 1923 hand-marked in red
  pencil."
709,2191,"Map of Chicago Showing Growth of the City by
  Annexations",Chicago. Dept. of Public Works,"8.5""x11""",1922,Annexations & Accretions," Map of
  Chicago.  Marks all additions to City
  of Chicago by name and letter. Also marks major streets and streets marking
  city borders. Legend at bottom left lists all annexations in chronological
  order, and includes date of act, date in effect, area of annexation, and
  total square miles of city."
710,2192,"Map of Chicago Showing Growth of the City by
  Annexations.",Chicago. Dept. of Public Works,"19.5""x23.5""",1924,Annexations & Accretions," Map of
  Chicago.  Marks all additions to City
  of Chicago by name and letter. Also marks major streets and streets marking
  city borders. Legend at right lists all annexations in chronological order,
  and includes date of act, date in effect, area of annexation, and total
  square miles of city."
711,2193,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions.",Chicago. Dept. of Public Works,"22.25""x28""",1935,Annexations & Accretions," Map of
  Chicago.  Marks all additions to City
  of Chicago by color, name, and number. Also marks major streets and streets
  marking city borders. Legend at right lists all annexations in chronological
  order, and includes date of act, date in effect, area of annexation, and
  total square miles of city."
712,2194,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions. (3 copies)",Chicago. Dept. of Public Works,Copy #1: black and white.,1940,Annexations & Accretions," Copy
  #2, 3: Annexations different colors 22""x28.5"" Map of
  Chicago.  Marks all additions to City
  of Chicago by name and number. Also marks major streets and streets marking
  city borders. Legend at right lists all annexations in chronological order,
  and includes date of act, date in effect, area of annexation, and total
  square miles of city."
713,2195,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions.",Chicago. Dept. of Public Works,"27.5""x22""",1950,Annexations & Accretions," Map
  showing expansion of city limits. Marks major streets and railways.  Annexations and additions marked by color,
  name, and number. Legend at right lists all annexations in chronological
  order, and includes date of act, date in effect, area of annexation, and
  total square miles of city. Gift:
  H.C. Brodman, May 1953"
714,2196,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions.",Chicago. Dept. of Public Works,"22.5""x28.5""",1956,Annexations & Accretions," Map
  showing expansion of city limits. Marks major streets and railways.  Annexations and additions marked by name
  and number. Legend at right lists all annexations in chronological order, and
  includes date of act, date in effect, area of annexation, and total square
  miles of city. Area included in initial incorporation of City of Chicago
  shaded green."
715,2197,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions. (2 copies)",Chicago. Dept. of Public Works,Copy #1: Black and white.,1958,Annexations & Accretions," Copy
  #2: Annexations different colors. 22.5""x27"" Map
  showing expansion of city limits. Marks major streets and railways.  Annexations and additions marked by name
  and number. Legend at right lists all annexations in chronological order, and
  includes date of act, date in effect, area of annexation, and total square
  miles of city."
716,2198,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions. (3 copies)",Chicago. Dept. of Public Works,Copy #1: Black and white.,1963,Annexations & Accretions," Copy
  #2, 3: Annexations different colors. 27.5""x32"" Map
  showing expansion of city limits. Marks major streets and railways, names and
  numbers annexations and additions. Insert map in upper left shows annexations
  of land S to Lawrence, W to River, N to Peterson, E to Nagle. Legend lists
  all annexations in chronological order, and includes date of act, date in
  effect, area of annexation, and total square miles of city."
717,2199,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions.",Chicago. Dept. of Public Works,"26.75""x31""",1970,Annexations & Accretions," Map
  showing expansion of city limits. Marks major streets and railways, names and
  numbers annexations and additions. Insert map in upper left shows annexations
  of land S to Lawrence, W to River, N to Peterson, E to Nagle. Legend lists
  all annexations in chronological order, and includes date of act, date in
  effect, area of annexation, and total square miles of city Gift:
  Wallace R. Anthon"
718,2200,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions. (2 copies)",Chicago. Dept. of Public Works,"32""x28""",1973,Annexations & Accretions," Map
  showing expansion of city limits. Marks major streets and railways, names and
  numbers annexations and additions. Insert map in upper left shows annexations
  of land S to Lawrence, W to River, N to Peterson, E to Nagle. Legend lists
  all annexations in chronological order, and includes date of act, date in
  effect, area of annexation, and total square miles of city."
719,2201,"Map of Chicago Showing Growth of the City by
  Annexations & Accretions.",Chicago. Dept. of Public Works,"27.5""x32""",1974,Annexations & Accretions," Map
  showing expansion of city limits. Marks major streets and railways, names and
  numbers annexations and additions. Insert map in upper left shows annexations
  of land S to Lawrence, W to River, N to Peterson, E to Nagle. Legend lists
  all annexations in chronological order, and includes date of act, date in
  effect, area of annexation, and total square miles of city. ICHi-31521"
720,3204,Annexations and Municipalities.,"Chicago. Metropolitan Sanitary District of
  Greater Chicago","14""x11""",1976,Annexations & Accretions," Map
  showing annexations and expansions of the Metropolitan Sanity District of
  Greater Chicago from 1889 to 1975. Additions marked by color and date. Also
  gives boundaries of all suburbs. Also marks all rivers and canals."
721,no number,"Piser Memorial Chapels Cemetery Map of Jewish
  Waldheim Cemeteries","Mandel, Eugene J.","14""x17""",1961,Cemeteries," Map
  showing land between Des Plaines R. and Harlem Ave, N to Cermak, S to
  Roosevelt. All land plots numbered, with legends in upper right and left
  margins. Also lists addresses to all cemeteries on map. Attached to guide
  booklet."
722,76,Map of Graceland Cemetery,Rschaerm Chas.,"24""x36.25""",187?,Cemeteries," Colored
  pictoral map of cemetery. Shows routes, monuments, lake.  Labels subdivisions and provides names for
  filled plots. ICHi-27725"
723,663,Map of Graceland Cemetery, ,"24""x21""",1884,Cemeteries," Map
  showing all paths, sections, blocks, and numbered grave plots in cemetery.
  Also marks entrance, adjacent streets, and offices. Sections left blank not
  yet subdivided into lots. ICHi-31174"
724,664,Map of Graceland Cemetery, ,"5.5""x6""",1886,Cemeteries," Map
  showing layout of sections, plots, and pathways in Graceland Cemetery and
  adjoining streets."
725,665,Map of Graceland Cemetery, ,"18.5""x21.5""",1886,Cemeteries," Map
  showing all paths, sections, blocks, and numbered grave plots in cemetery.
  Also marks entrance, adjacent streets, and offices. Sections left blank not
  yet subdivided into lots. ICHi-51790"
726,667,"Plat Showing the Lands of the Graceland Cemetery
  Company", ,"9.5""x12""",1879,Cemeteries," Map
  showing land for Graceland Cemetery and adjacent streets and properties. Blue
  shows the land now owned by the Graceland Cemetery Co, red shows the present
  limits of Graceland Cemetery, heavy black lines shows proposed final limits
  of Graceland Cemetery. ICHi-31173 From:
  The Proposition of the Graceland Cemetery Company... Chic. 1879"
727,1051,Catholic Cemetery.,"Bradley, A.",Oversized.,1845,Cemeteries," Reproduction:
  17""x21"" Map
  showing numbered plots in cemetery, with names written into filled plots.
  Handwritten notes in margins."
728,1052,Sacred Heart Cemetery.,"Elliott, Henry","34.5""x27""",1897,Cemeteries," Map
  showing land plots for cemetery in Palos Township.  Also marks church, adjacent roads and
  properties. Includes measurements."
729,1053,"Plan of the 1st Division of Mount Greenwood
  Cemetery.",D. Bremer,"24.25""x30""",1880,Cemeteries," Colored
  map showing paths, sections, numbered land plots, chapel, vault, entrances,
  and adjacent streets. Information on cemetery in right margin."
730,1054,"Map of the Forest Home Cemetery, Cook County,
  Illinois.","Haase, Leo G.","2-sided. One side:
  8.5""x22""",1898,Cemeteries," Map
  showing paths, sections, numbered land plots, chapel, vault, entrances, and
  adjacent streets. Information on Forest Home in bottom right. Front
  side contains all land east of Des Plaines River. Reverse contains all long
  on west side."
731,2202,Map Showing Location of Cemeteries in Cook Co., ,"10.75""x8.5""",n.d.,Cemeteries," Map of
  Cook County showing Chicago and suburbs, marking sites of cemeteries in which
  soldiers of the Civil War are buried and the number buried in each. Legend in
  margins."
732,2203,"Mt. Hope, Mt. Olivet, Mt. Greenwood
  cemeteries.fd", ,"14.5""x18.5""",n.d.,Cemeteries," Map
  showing area around Mt. Hope, Mt. Olivet, and Mt. Greenwood Cemeteries in
  Blue Island.  Shows streets, parks,
  railway lines. Labels major streets and subdivisions. S to Vermont St, W to
  Atwood, N to 103rd St, W to Morgan Park. Gift:
  Mrs. Jane Power, 4/1942"
